D/TextBlockDetector: Text-block pass added 9 region(s) and kept 1 speech fallback(s)
D/PageTranslator: Merged 12 detector fragment(s) into complete caption blocks
D/BubbleRenderer: bubble=BubbleBox(left=135, top=15517, right=835, bottom=15812, confidence=0.15, isTextBlock=true, isFallbackTextBlock=false) flat-fill bounds=Rect(96, 157 - 869, 578) layout=Rect(96, 157 - 869, 578) slot=Rect(208, 185 - 757, 568) page=Rect(208, 15482 - 757, 15865) fill=fffcfcfc ink=ff181818
D/BubbleRenderer: bubble=BubbleBox(left=76, top=12609, right=698, bottom=12847, confidence=0.15, isTextBlock=true, isFallbackTextBlock=false) flat-fill bounds=Rect(31, 168 - 745, 506) layout=Rect(31, 168 - 745, 506) slot=Rect(31, 168 - 745, 506) page=Rect(31, 12559 - 745, 12897) fill=fffcfcfc ink=ff181818
D/BubbleRenderer: bubble=BubbleBox(left=188, top=14380, right=781, bottom=14614, confidence=0.15, isTextBlock=true, isFallbackTextBlock=false) flat-fill bounds=Rect(143, 159 - 826, 491) layout=Rect(143, 159 - 826, 491) slot=Rect(143, 159 - 826, 491) page=Rect(143, 14331 - 826, 14663) fill=fffcfcfc ink=ff171717
D/BubbleRenderer: bubble=BubbleBox(left=90, top=7326, right=614, bottom=7559, confidence=0.15, isTextBlock=true, isFallbackTextBlock=false) flat-fill bounds=Rect(24, 134 - 682, 465) layout=Rect(24, 134 - 682, 465) slot=Rect(105, 139 - 602, 464) page=Rect(105, 7282 - 602, 7607) fill=fffdfdfd ink=ff171717
D/BubbleRenderer: bubble=BubbleBox(left=128, top=9337, right=770, bottom=9527, confidence=0.15, isTextBlock=true, isFallbackTextBlock=false) flat-fill bounds=Rect(82, 180 - 818, 450) layout=Rect(82, 180 - 818, 450) slot=Rect(82, 180 - 818, 450) page=Rect(82, 9297 - 818, 9567) fill=fffcfcfc ink=ff151515
D/BubbleRenderer: bubble=BubbleBox(left=180, top=4248, right=745, bottom=4431, confidence=0.15, isTextBlock=true, isFallbackTextBlock=false) flat-fill bounds=Rect(129, 160 - 797, 419) layout=Rect(129, 160 - 797, 419) slot=Rect(129, 160 - 797, 419) page=Rect(129, 4210 - 797, 4469) fill=fffcfcfc ink=ff171717
D/BubbleRenderer: bubble=BubbleBox(left=245, top=1081, right=761, bottom=1279, confidence=0.15, isTextBlock=true, isFallbackTextBlock=false) flat-fill bounds=Rect(110, 139 - 768, 421) layout=Rect(110, 139 - 768, 421) slot=Rect(110, 139 - 768, 421) page=Rect(174, 1039 - 832, 1321) fill=fffdfdfd ink=ff151515
D/BubbleRenderer: bubble=BubbleBox(left=99, top=10208, right=611, bottom=10377, confidence=0.15, isTextBlock=true, isFallbackTextBlock=false) flat-fill bounds=Rect(49, 144 - 660, 383) layout=Rect(49, 144 - 660, 383) slot=Rect(49, 144 - 660, 383) page=Rect(49, 10173 - 660, 10412) fill=fffdfdfd ink=ff181818
D/BubbleRenderer: bubble=BubbleBox(left=414, top=11844, right=798, bottom=11985, confidence=0.15, isTextBlock=true, isFallbackTextBlock=true) flat-fill bounds=Rect(99, 105 - 555, 304) layout=Rect(99, 105 - 555, 304) slot=Rect(99, 105 - 555, 304) page=Rect(379, 11815 - 835, 12014) fill=fffcfcfc ink=ff1c1c1c
D/BubbleRenderer: bubble=BubbleBox(left=78, top=15224, right=433, bottom=15326, confidence=0.15, isTextBlock=true, isFallbackTextBlock=false) flat-fill bounds=Rect(28, 104 - 462, 246) layout=Rect(28, 104 - 462, 246) slot=Rect(28, 104 - 462, 246) page=Rect(28, 15204 - 462, 15346) fill=fffcfcfc ink=ff1a1a1a
D/BubbleRenderer: Skipping BubbleBox(left=840, top=3710, right=894, bottom=3751, confidence=0.10974032, isTextBlock=false, isFallbackTextBlock=false): saturated ink ff61978e with no bubble — decorative lettering, not dialogue
